id, name, latitude, longitude, address, area, city,cost, rating, homedelivery, smoking, alcohol, wifi, valetparking, rooftop  
483,Jughead's,19.2085848,72.9712926,"Majiwada, Thane West10, 1st Floor, Viviana Mall, Near Jupiter Hospital, Eastern Express Highway,","Majiwada, Thane West", Mumbai,1300,2.6,yes,no,yes,no,no,no
484,Mamledar Misal,19.1891026,72.96752114,"Near Raymond Showroom, Naupada Police Station, Thane West","Majiwada, Thane West", Mumbai,150,4.1,no,no,no,no,no,no
485,Goila Butter Chicken,19.12758292,72.82916844,"Shop 26,4 Bungalows,  Sai Kanwal Complex, Indira Nagar, Near DN Nagar Metro Station, 4 Bungalows, Mumbai",4 Bungalows, Mumbai,700,4,yes,no,no,no,no,no
486,Radio Bar,19.06960807,72.83355184,"355, New Castle Hotel,KharWest, Khar, Mumbai",Khar, Mumbai,2000,3.6,no,yes,yes,no,yes,no
487,Amar Juice Centre,19.10724308,72.88223024,"Unit /Gala 8 & 9, Ground floor, Building 1, Ajay Mittal Industrial Premises, Andheri Kurla Road,Marol, Mumbai",Marol, Mumbai,550,3.5,yes,no,no,no,no,no
488,D'Crepes Cafe,19.2264986,72.9706467,"Vasant Vihar, Thane West21/22, Block 1, Emerald Plaza, Hiranandani Meadows, Off Pokhran 2,","Vasant Vihar, Thane West", Mumbai,1000,4.3,yes,no,no,yes,no,no
489,Banjara Dhaba,19.2531031,72.8490555,"Opposite Phillips Tower Building, Off Holy Cross Road, IC Colony,Borivali West, Mumbai",Borivali West, Mumbai,650,3.4,yes,no,yes,no,no,no
490,Cafe Amigos,19.2271163,72.9738299,"Vasant Vihar, Thane West12, Sunrise Shopping Complex, Next to Hyde Park, Behind Hiranandani Meadows,","Vasant Vihar, Thane West", Mumbai,650,4.2,no,no,no,yes,no,no
491,Copa,19.1098152,72.82722384,"Anna Building, 13th road, OppositeJuhuGymkhana, Juhu, Mumbai",Juhu, Mumbai,1500,3.7,no,yes,yes,no,yes,no
492,La Folie Lab,19.0550534,72.8291722,"Hill Road, Bandra West1, Ground Floor, Libra Towers, Opposite St.Peter's Church,","Hill Road, Bandra West", Mumbai,800,4.1,yes,yes,no,yes,no,no
493,Naaz Hotel,19.08469136,72.88923081,"Kantaria Mahal, LBS Road, Opposite Mukund Iron Limited,Kurla, Mumbai",Kurla, Mumbai,800,3.8,yes,no,no,no,no,no
494,The Post Office Bistro & Bar,19.34406338,72.80669253,"Pam Infrastructure, Near ChimajiAppa Ground, Behind S T Depot,VasaiGaon, Vasai, Mumbai",Vasai, Mumbai,700,4.5,no,no,yes,yes,no,no
495,Barbeque Nation,19.08558804,72.88914263,"2nd Floor, Phoenix Paragon Plaza,Kurla, Mumbai",Kurla, Mumbai,1900,4.1,no,no,yes,no,no,no
496,Chili's American Grill & Bar,19.08682976,72.88989935,"UG-46, Upper Ground Floor, Phoenix Marketcity Mall, LBS Road,Kurla, Mumbai",Kurla, Mumbai,1800,4.4,no,yes,yes,no,no,no
497,Harry's Bar + Cafe,19.08677653,72.8899141,"F 41, Phoenix Market City, LBS Marg,Kurla, Mumbai",Kurla, Mumbai,1300,3.7,yes,yes,yes,no,yes,no
498,Rainforest Resto-Bar,19.08638618,72.88916677,"3, Phoenix Market City, LBS Road,Kurla, Mumbai",Kurla, Mumbai,1800,3.7,yes,yes,yes,no,no,no
